Medium,Messtag,Wuchshöhe,Matrikelnummer
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,0.0,2139315
Salty,4,1.0,2139315
Salty,4,1.0,2139315
Salty,4,1.6666666666666667,2139315
Salty,4,2.0,2139315
Salty,4,2.0,2139315
Salty,4,2.0,2139315
Salty,4,2.0,2139315
Salty,4,2.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.0,2139315
Salty,5,0.3333333333333333,2139315
Salty,5,1.0,2139315
Salty,5,1.0,2139315
Salty,5,1.0,2139315
Salty,5,2.0,2139315
Salty,5,2.0,2139315
Salty,5,2.0,2139315
Salty,5,2.0,2139315
Salty,5,3.0,2139315
Salty,5,6.333333333333333,2139315
Salty,5,6.333333333333333,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,0.0,2139315
Salty,6,1.0,2139315
Salty,6,1.0,2139315
Salty,6,1.0,2139315
Salty,6,1.0,2139315
Salty,6,2.0,2139315
Salty,6,2.0,2139315
Salty,6,2.0,2139315
Salty,6,2.0,2139315
Salty,6,3.0,2139315
Salty,6,8.5,2139315
Salty,6,9.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,0.0,2139315
Salty,7,1.0,2139315
Salty,7,1.0,2139315
Salty,7,1.0,2139315
Salty,7,1.0,2139315
Salty,7,2.0,2139315
Salty,7,2.0,2139315
Salty,7,2.0,2139315
Salty,7,2.0,2139315
Salty,7,3.0,2139315
Salty,7,3.0,2139315
Salty,7,9.0,2139315
Salty,7,11.5,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,0.0,2139315
Salty,8,1.0,2139315
Salty,8,1.6666666666666667,2139315
Salty,8,2.0,2139315
Salty,8,2.0,2139315
Salty,8,2.0,2139315
Salty,8,3.0,2139315
Salty,8,3.0,2139315
Salty,8,3.0,2139315
Salty,8,5.666666666666667,2139315
Salty,8,6.666666666666667,2139315
Salty,8,9.0,2139315
Salty,8,16.333333333333332,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,0.0,2139315
Salty,9,1.0,2139315
Salty,9,2.0,2139315
Salty,9,2.0,2139315
Salty,9,2.0,2139315
Salty,9,2.3333333333333335,2139315
Salty,9,3.0,2139315
Salty,9,3.0,2139315
Salty,9,4.333333333333333,2139315
Salty,9,6.0,2139315
Salty,9,9.0,2139315
Salty,9,10.0,2139315
Salty,9,19.333333333333332,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,0.0,2139315
Salty,10,1.0,2139315
Salty,10,2.0,2139315
Salty,10,2.0,2139315
Salty,10,3.0,2139315
Salty,10,3.0,2139315
Salty,10,3.0,2139315
Salty,10,4.0,2139315
Salty,10,6.0,2139315
Salty,10,9.0,2139315
Salty,10,11.0,2139315
Salty,10,12.0,2139315
Salty,10,21.5,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,0.0,2139315
Salty,11,1.0,2139315
Salty,11,2.0,2139315
Salty,11,2.0,2139315
Salty,11,3.0,2139315
Salty,11,3.0,2139315
Salty,11,3.0,2139315
Salty,11,4.0,2139315
Salty,11,8.0,2139315
Salty,11,9.0,2139315
Salty,11,13.0,2139315
Salty,11,13.0,2139315
Salty,11,25.0,2139315
Salty,12,0.0,2139315
Salty,12,0.0,2139315
Salty,12,0.0,2139315
Salty,12,0.0,2139315
Salty,12,0.0,2139315
Salty,12,0.0,2139315
Salty,12,1.0,2139315
Salty,12,2.0,2139315
Salty,12,2.0,2139315
Salty,12,2.0,2139315
Salty,12,3.0,2139315
Salty,12,3.0,2139315
Salty,12,4.0,2139315
Salty,12,4.0,2139315
Salty,12,4.0,2139315
Salty,12,8.0,2139315
Salty,12,9.0,2139315
Salty,12,13.0,2139315
Salty,12,13.0,2139315
Salty,12,25.0,2139315
